Key,Type,Desc,English,Chinese
BuildingInfo/Curtain 2,Text,,Curtain,窗帘
BuildingInfo/Curtain 2__tooltip,Text,,Improves room decor,改善房间的装饰
BuildingInfo/Curtain__tooltip,Text,,Improves room decor,改善房间的装饰
BuildingInfo/Door,Text,,Door,门
BuildingInfo/Door__tooltip,Text,,Basic wooden door that comes with a lock,带锁的基础木门
BuildingInfo/Double Bed,Text,,Double Bed,双人床
BuildingInfo/Double Bed__tooltip,Text,,Double bed for couples,双人床
BuildingInfo/Evaporative Cooler,Text,,Evaporative Cooler,蒸发冷却器
BuildingInfo/Evaporative Cooler__tooltip,Text,,Cools down rooms. Requires connection to water source through pipes.,能够冷却房间。需要通过管道连接水源。
BuildingInfo/Fence,Text,,Fence,围栏
BuildingInfo/Fence__tooltip,Text,,Wooden fences make a quick 2 block high barrier,高度为2个方块的木质屏障
BuildingInfo/Fireplace,Text,,Fireplace,火炉
BuildingInfo/Fireplace__tooltip,Text,,Source of heat. More efficient than the camp fire.,热源。比营火更有效率。
BuildingInfo/Furnace,Text,,Furnace,熔炉
BuildingInfo/Furnace__tooltip,Text,,Smelters produce metal ingots from metal ore here. Also burns or melts down unwanted items.,能够熔炼金属矿石并生产金属锭。还可以烧毁或熔化不需要的物品。
BuildingInfo/Gate,Text,,Gate,门
BuildingInfo/Gate__tooltip,Text,,Entrance to your fenced area,通过门以进入围栏内
BuildingInfo/Grate,Text,,Grate,通风管道
BuildingInfo/Grate__tooltip,Text,,Allows airflow and blocks off rooms. Opens for colonists to crawl through.,阻隔房间但允许气流通过。殖民者能够爬行通过。
BuildingInfo/Grave,Text,,The Fall,坟墓
BuildingInfo/Grave__tooltip,Text,,Simple grave,简单的坟墓
BuildingInfo/Jeweller's Workshop,Text,,Jeweller's Workshop,珠宝切割台
BuildingInfo/Jeweller's Workshop__tooltip,Text,,For cutting raw gems to produce jewelry and trinkets.,能够切割珠宝原石来生产珠宝和小饰品。
BuildingInfo/Kitchen,Text,,Kitchen,厨房
BuildingInfo/Kitchen__tooltip,Text,,Cooks turn raw food into meals here.,厨师能够在这里将生食做成熟食。
BuildingInfo/Ladder,Text,,Ladder,梯子
BuildingInfo/Ladder__tooltip,Text,,Allows colonists to move up and down freely.,允许殖民者能够自由上下移动。
BuildingInfo/Loom,Text,,Loom,织布机
BuildingInfo/Loom__tooltip,Text,,Weavers process raw fiber into cloth or rope. Cloth can then be made into bags or clothing.,纺织工将原纤维加工成布或绳，进而将布制成袋子或衣服。
BuildingInfo/Mason's Workshop,Text,,Mason's Workshop,石匠台
BuildingInfo/Mason's Workshop__tooltip,Text,,Mason's turn raw stone into blocks and stone walls.,石匠将原石加工成石块和石墙。
BuildingInfo/Mechanism,Text,,Mechanism,机械构件
BuildingInfo/Mechanism__tooltip,Text,,Required to connect water pumps to windmills.,需要将水泵连接至风车。
BuildingInfo/Meeting Room,Text,,Meeting Room,会议室
BuildingInfo/Meeting Room__tooltip,Text,,Designated point for trade and first contact with other factions. The quality of the meeting room impresses visiting factions and increases the chance of positive interactions.,与其他势力首次接触及指定交易点。高质量的会议室会给来访势力留下深刻印象，能够未来增加积极互动的机会。
BuildingInfo/Painting,Text,,Painting,绘画
BuildingInfo/Painting 2,Text,,Painting,绘画
BuildingInfo/Painting 2__tooltip,Text,,Increases room decor,改善房间的装饰
BuildingInfo/Painting__tooltip,Text,,Increases room decor,改善房间的装饰
BuildingInfo/Research Lab,Text,,Research Lab,研究台
BuildingInfo/Research Lab__tooltip,Text,,Researchers research in the research lab,殖民者使用研究台进行研究。
BuildingInfo/Salt Works,Text,,Salt Works,盐工坊
BuildingInfo/Salt Works__tooltip,Text,,For producing salt and fresh water from salt water. Requires a pipe connection to salty water.,用于从咸水中生产盐和淡水。需要管道连接至咸水。
BuildingInfo/Sculpture,Text,,Sculpture,雕像
BuildingInfo/Sculpture 2,Text,,Sculpture,雕像
BuildingInfo/Sculpture 2__tooltip,Text,,Increases room decor,改善房间的装饰
BuildingInfo/Sculpture__tooltip,Text,,Increases room decor,改善房间的装饰
BuildingInfo/Still,Text,,Still,酿酒台
BuildingInfo/Still__tooltip,Text,,Brewers make drinks here. Requires a pipe connection to fresh water.,酿酒师在这里酿酒。需要管道连接至淡水。
BuildingInfo/Stone Gate,Text,,Stone Gate,石门
BuildingInfo/Stone Gate__tooltip,Text,,Large stone gate for better defense.,石门可以更好地防御敌人。
BuildingInfo/Stone Stairs,Text,,Stone Stairs,石台阶
BuildingInfo/Stone Stairs__tooltip,Text,,Stairs improve walking speed.,能够提高在行走在上面的速度。
BuildingInfo/Table,Text,,Table,桌子
BuildingInfo/Table__tooltip,Text,,Small wooden or stone table for eating or drinking.,用于就餐的木桌或石桌。
BuildingInfo/Torch,Text,,Torch,火把
BuildingInfo/Torch__tooltip,Text,,Light source to brighten up an area,能够照亮一片区域的光源。
BuildingInfo/Vase,Text,,Vase,花瓶
BuildingInfo/Vase__tooltip,Text,,Increases room decor,改善房间的装饰
BuildingInfo/Water Pipe,Text,,Water Pipe,水管
BuildingInfo/Water Pipe__tooltip,Text,,Connects water pumps or water sources to buildings which require water.,连接需水建筑物至水泵或水源。
BuildingInfo/Water Pump,Text,,Water Pump,水泵
BuildingInfo/Water Pump__tooltip,Text,,Pumps water from input to output. Pipes should be connected to the input and output. Requires connection to a windmill with mechanisms.,水泵能够输送水。两端需要连接水管。需要连接至风车。
BuildingInfo/Windmill,Text,,Windmill,风车
BuildingInfo/Windmill__tooltip,Text,,Windmills power water pumps. Ensure that both the front and back of the windmill is not obstructed.,风车能够驱动水泵。确保风车前后没有阻挡物。
BuildingInfo/Window,Text,,Window,窗户
BuildingInfo/Window__tooltip,Text,,Windows let natural light into rooms.,窗户能够让自然光进入房间。
BuildingInfo/Wooden Stairs,Text,,Wooden Stairs,木台阶
BuildingInfo/Wooden Stairs__tooltip,Text,,Stairs improve walking speed.,能够提高在行走在上面的速度。
Bulky,Text,,Bulky,笨重的
CONSCIOUSNESS,Text,,Consciousness,意识
Cancel demolition,Text,,Cancel demolition,取消拆除
Changelog,Text,,Changelog,更新日志
Claim,Text,,Claim,取消禁用
Claim All,Text,,Claim All,全部取消禁用
Clear,Text,,Clear,清除
Clear All,Text,,Clear All,全部清除
Click on planet to select embark location. {0} to rotate the globe.,Text,,Click on planet to select embark location. {0} to rotate the globe.,点击星球选择登录位置。{0}旋转星球。
Component(s),Text,,Component(s),组件
Construction,Text,,Construction,建造
Construction Job Needed,Text,,Construction Job Needed,建造需要相关职业
Continue,Text,,Continue,继续
Creature,Text,,Creature,生物
Creature will die if total blood reaches 0.,Text,,Creature will die if total blood reaches 0.,如果血量降至0，生物将会死亡。
Critical,Text,,Critical,危急
Crops,Text,,Crops,作物
Currently Selected,Text,,Currently Selected,当前选中
Currently selected:,Text,,Currently selected:,当前选中：
Custom,Text,,Custom,习惯
Customisation Cost,Text,,Customisation Cost,定制成本
Customize colonist,Text,,Customize colonist,自定义殖民者
Customize start,Text,,Customize start,自定义开始
Decor,Text,,Decor,装饰
Delete Save,Text,,Delete Save,删除存档
Demolish,Text,,Demolish,拆除
Demolishing,Text,,Demolishing,拆除
Deny Healthcare,Text,,Deny Healthcare,拒绝治疗
Depth,Text,,Depth,深度
Description,Text,,Description,描述
Destroy,Text,,Destroy,破坏
Details,Text,,Details,细节
Difficulty,Text,,Difficulty,难度
Difficulty/Easy,Text,,Easy,简单
Difficulty/Hard,Text,,Hard,困难
Difficulty/Insane,Text,,Insane,极难
Difficulty/Normal,Text,,Normal,正常
Disabled,Text,,Disabled,禁用
Distance,Text,,,
Drink Rations,Text,,Drink Rations,饮料配给
Edit,Text,,Edit,编辑
Edit Presets,Text,,Edit Presets,编辑预设
Email,Text,,Email,电子邮件
Embark,Text,,Embark,Embark
Embark uses Unity analytics to automatically collect crash reports.,Text,,Embark uses Unity analytics to automatically collect crash reports.,使用Unity自动收集游戏错误报告
Embark!,Text,,Embark!,出发！
Equip,Text,,Equipment,设备
Equip Squad,Text,,Equip Squad,装备小队
Event,Text,,Event,事件
EventNotificationInfo/Animal attack,Text,,Animal attack,动物袭击
EventNotificationInfo/Argument,Text,,Argument,争执
EventNotificationInfo/BleedingOut,Text,,Bleeding Out,流血
EventNotificationInfo/Burning,Text,,Burning,燃烧
EventNotificationInfo/Cannot find ingredients,Text,,Cannot find ingredients,无法找到配料
EventNotificationInfo/Combat,Text,,Combat,战斗
EventNotificationInfo/Demand Tribute,Text,,Demand Tribute,要求进贡
EventNotificationInfo/First Contact,Text,,First Contact,初次接触
EventNotificationInfo/Freezing,Text,,Freezing,冷冻
EventNotificationInfo/Friendship,Text,,Friendship,友谊
EventNotificationInfo/FriendshipEnded,Text,,Friendship Ended,友谊破裂
EventNotificationInfo/HandsFull,Text,,Hands Full,不可开交
EventNotificationInfo/Inaccessible,Text,,Inaccessible,人迹罕至
EventNotificationInfo/Item improvement,Text,,Item improvement,改进物品
EventNotificationInfo/Learning,Text,,Learning,学习
EventNotificationInfo/New Birth,Text,,New Birth,新生
EventNotificationInfo/No water,Text,,No water,缺水
EventNotificationInfo/Rescue,Text,,Rescue,营救
EventNotificationInfo/Research Completed,Text,,Research Completed,研究完成
EventNotificationInfo/Rivalry,Text,,Rivalry,竞争
EventNotificationInfo/RivalryEnded,Text,,Rivalry Ended,竞争结束
EventNotificationInfo/Starving,Text,,Starving,饥饿
EventNotificationInfo/Survivor found,Text,,Survivor found,发现幸存者
EventNotificationInfo/Thirsty,Text,,Thirsty,渴
EventNotificationInfo/Tool Required,Text,,Tool Required,需要工具
EventNotificationInfo/Trade,Text,,Trade,交易
EventNotificationInfo/Under Attack!,Text,,Under Attack!,受到攻击！
EventNotificationInfo/Wedding,Text,,Wedding,婚礼
Few,Text,,Few,少
Filter,Text,,Filter,筛选
Fog,Text,,Tooth,牙齿
Food,Text,,,
Food Rations,Text,,Food Rations,口粮
Forbid,Text,,Forbid,禁止
Forbidden,Text,,Forbidden,被禁止
Freshness,Text,,Freshness,新鲜
Generating height map...,Text,,Generating height map...,生成高度图...
Graphics,Text,,Graphics,图像
Hates {0},Text,,Hates {0},讨厌{0}
Health,Text,,Health,健康
Healthy,Text,,Healthy,健康
HoldPosition,Text,,HoldPosition,原地待命
Hospital Bed,Text,,Hospital Bed,病床
Huge,Text,,Huge,巨大
In Bag,Text,,In Bag,在袋子里
In Stockpile,Text,,In Stockpile,在库存中
InfoType/Accessible,Text,,Accessible,可进入
InfoType/Accessible__tooltip,Text,,Workers will mark a spot as inaccesible if they fail to reach it repeatedly.,如果殖民者不能多次到达某个地点，他们会将该地标记为不可进入。
InfoType/Edible,Text,,Edible,可食用
InfoType/Edible__tooltip,Text,,Edible plants can be turned into meals in a kitchen.,可食用植物可在厨房中做成食物。
InfoType/Elevation,Text,,Elevation,海拔
InfoType/Elevation__tooltip,Text,,Average elevation of region. Higher regions are colder and usually more mountainous.,平均海拔高度。海拔越高温度越低，通常多山地。
InfoType/Faction,Text,,Faction,势力
InfoType/Faction__tooltip,Text,,Faction of creature,生物的势力
InfoType/Health,Text,,Health,健康
InfoType/Health__tooltip,Text,,"Health of plant, lack of water and extreme temperatures can cause plants to die.",植物的健康值，缺水或极端温度会导致其死亡。
InfoType/Location,Text,,Location,位置
InfoType/Location__tooltip,Text,,Longitude and Latitude of region.,地区的经纬度
InfoType/MaterialsRequired,Text,,Materials Required,所需原料
InfoType/MaterialsRequired__tooltip,Text,,Materials required for construction. Items Delivered (Items on the way) / Items Required,建造所需的原料。已交付物品（递送中的物品）/需要的物品
InfoType/Maturity,Text,,Maturity,成熟
InfoType/Maturity__tooltip,Text,,"Maturity of plant, harvesting fully grown plants nets more resources.",植物成熟，收获完全成熟的植物可以获得更多的资源。
InfoType/Plants,Text,,Plants,植物
InfoType/Plants__tooltip,Text,,Plants__tooltip,Plants__tooltip
InfoType/Precipitation,Text,,Precipitation,降水
InfoType/Precipitation__tooltip,Text,,Average rainfall in region.,区域平均降雨量。
InfoType/Stockpile,Text,,Stockpile,库存
InfoType/Stockpile__tooltip,Text,,Current items stored in stockpile / Total space in stockpile,库存中的当前物品/库存中的总空间
InfoType/Temperature,Text,,Temperature,温度
InfoType/Temperature__tooltip,Text,,Average temperature in region.,区域内平均温度
InfoType/Water,Text,,Water,水
InfoType/WaterFlow,Text,,WaterFlow,水流
InfoType/WaterFlow__tooltip,Text,,WaterFlow__tooltip,水流工具
InfoType/Water__tooltip,Text,,Water stored,蓄水
Ironman,Text,,Ironman,硬核模式
Item Type,Text,,Item Type,物品种类
Item cannot be made becaue no raw materials have been found. Harvest suitable raw material first.,Text,,"Item cannot be made becaue no raw materials have been found.
Harvest suitable raw material first.",由于没有原材料，无法制作该物品，请先获得相应原材料。
ItemInfo/Ale,Text,,But,麦芽酒
ItemInfo/Aluminium Ingot,Text,,Aluminium Ingot,铝锭
ItemInfo/Amethyst,Text,,Amethyst,紫晶
ItemInfo/Ammo,Text,,Ammo,弹药
ItemInfo/Ammunition,Text,,Ammunition,弹药
ItemInfo/Animal Corpse,Text,,Animal Corpse,动物产品
ItemInfo/Apple,Text,,An Apple,苹果
ItemInfo/AppleWood,Text,,AppleWood,苹果木
ItemInfo/Arbalest,Text,,Arbalest,劲弩
ItemInfo/Armguards,Text,,Armguards,护臂
ItemInfo/Armour,Text,,Armour,盔甲
ItemInfo/Axe,Text,,Axis,轴
ItemInfo/Bag,Text,,Bag,袋子
ItemInfo/Ballista Bolt,Text,,Ballista Bolt,弩炮螺栓
ItemInfo/Banana,Text,,Banana,香蕉
ItemInfo/Bandage,Text,,Bandage,绷带
ItemInfo/Banyan,Text,,Banyan,榕树
ItemInfo/Barrel,Text,,Barrel,桶
ItemInfo/Basalt,Text,,Basalt,玄武岩
ItemInfo/Battle Axe,Text,,Battleaxe,战斧
ItemInfo/Bauxite,Text,,Bauxite,铝土矿
ItemInfo/BearFur,Text,,Bear Fur,熊皮
ItemInfo/BearMeat,Text,,Bear Meat,熊肉
ItemInfo/Birch,Text,,Birch,桦木
ItemInfo/BirdMeat,Text,,Bird Meat,鸟肉
ItemInfo/Block,Text,,Block,方块
ItemInfo/Blood,Text,,Blood,血
ItemInfo/Blueberry,Text,,Blueberry,蓝莓
ItemInfo/Bone,Text,,Bone,骨头
ItemInfo/Book,Text,,Book,书
ItemInfo/Boots,Text,,Boots,靴子
ItemInfo/BreadFruit,Text,,PainFruit,面包果
ItemInfo/Bronze Ingot,Text,,Bronze Ingot,青铜锭
ItemInfo/Buckler,Text,,Buckler,圆盾
ItemInfo/BunnyFur,Text,,Bunny Fur,兔皮
ItemInfo/BunnyMeat,Text,,Bunny Meat,兔肉
ItemInfo/Burn Items,Text,,Burn Items,燃烧物品
ItemInfo/Butcher Animal,Text,,Butcher Animal,屠夫动物
ItemInfo/CactusFruit,Text,,CactusFruit,仙人掌果实
ItemInfo/CactusTree,Text,,CactusTree,仙人掌
ItemInfo/Cap,Text,,Cap,帽子
ItemInfo/Cassiterite,Text,,Cassiterite,錫石矿
ItemInfo/Catapult Rock,Text,,Catapult Rock,石弹
ItemInfo/CaveMushroom,Text,,Cave Mushroom,洞穴蘑菇
ItemInfo/Chalcopyrite,Text,,Chalcopyrite,黄铜矿
ItemInfo/Cider,Text,,Cider,苹果酒
ItemInfo/Clay,Text,,Clay,黏土
ItemInfo/Claymore,Text,,Claymore,大剑
ItemInfo/Cloak,Text,,Cloak,披风
ItemInfo/Cloth,Text,,Cloth,布
ItemInfo/Clothing,Text,,Clothing,衣服
ItemInfo/Club,Text,,Club,棍子
ItemInfo/Coal,Text,,Coal,煤
ItemInfo/CompactedDirtWall,Text,,Compacted Dirt Wall,压实土墙
ItemInfo/Conglomerate,Text,,Conglomerate,砾岩
ItemInfo/Container,Text,,Container,容器
ItemInfo/Copper Ingot,Text,,Copper Ingot,铜锭
ItemInfo/Corpse,Text,,Corpse,尸体
ItemInfo/Cotton,Text,,Cotton,棉
ItemInfo/Crossbow,Text,,Crossbow,弩
ItemInfo/Cuirass,Text,,Cuirass,胸甲
ItemInfo/Dagger,Text,,Dagger,匕首
ItemInfo/Diamond,Text,,Diamond,钻石
ItemInfo/Diorite,Text,,Diorite,闪长岩
ItemInfo/Distilled Salt,Text,,Distilled Salt,蒸馏盐
ItemInfo/Dolomite,Text,,Dolomite,白云石
ItemInfo/Dried Meat,Text,,Dried Meat,肉松
ItemInfo/Drink,Text,,Drink,喝
ItemInfo/Emerald,Text,,Emerald,翡翠
ItemInfo/Emergency Butcher,Text,,Emergency Butcher,紧急屠夫
ItemInfo/Emergency Rations,Text,,Emergency Rations,应急口粮
ItemInfo/FlyMeat,Text,,Fly Meat,苍蝇肉
ItemInfo/Food,Text,,Food,食物
ItemInfo/ForestMushroom,Text,,Forest Mushroom,森林蘑菇
ItemInfo/Gabbro,Text,,Gabbro,辉长岩
ItemInfo/Galena,Text,,Galena,方铅矿
ItemInfo/Gauntlets,Text,,Gauntlets,护手
ItemInfo/Gem,Text,,Gem,宝石
ItemInfo/Gneiss,Text,,Gneiss,片麻岩
ItemInfo/Gold,Text,,Gold,金
ItemInfo/Gold Ingot,Text,,Gold Ingot,金锭
ItemInfo/Granite,Text,,Granite,花岗岩
ItemInfo/Halberd,Text,,Halberd,戟
ItemInfo/Halite,Text,,Halite,岩盐
ItemInfo/Hammer,Text,,Hammer,锤子
ItemInfo/Hatchet,Text,,Hand,短斧
ItemInfo/Hauberk,Text,,Breastplate,胸铠
ItemInfo/Helm,Text,,Hold Real Power,头盔
ItemInfo/Hemetite,Text,,Hemetite,赤铁矿
ItemInfo/Herb,Text,,Herb,草药
ItemInfo/Herbal Bandage,Text,,Herbal Bandage,草药绷带
ItemInfo/Hide,Text,,Hide,皮毛
ItemInfo/Hoe,Text,,How,锄
ItemInfo/HumanSkin,Text,,Human Skin,人皮
ItemInfo/Ilmenite,Text,,Ilmenite,钛铁矿
ItemInfo/Insect Meat,Text,,Insect Meat,昆虫肉
ItemInfo/Iron Ingot,Text,,Iron Ingot,铁锭
ItemInfo/Javelin,Text,,Javelin,标枪
ItemInfo/Jerky,Text,,Jerky,肉干
ItemInfo/Jewelry,Text,,Jewelry,珠宝
ItemInfo/Juice,Text,,Juice,果汁
ItemInfo/Kapok,Text,,I Get,木棉
ItemInfo/Knife,Text,,Knife,刀
ItemInfo/Lavish Meal,Text,,Lavish Meal,丰盛的大餐
ItemInfo/Lavish Vegetable Meal,Text,,Lavish Vegetable Meal,丰盛的素餐
ItemInfo/Lead Ingot,Text,,Lead Ingot,铅锭
ItemInfo/Leggings,Text,,Leggings,护腿
ItemInfo/Limestone,Text,,Limestone,石灰石
ItemInfo/Loam,Text,,Mold,沃土
ItemInfo/Longbow,Text,,Longbow,长弓
ItemInfo/Marble,Text,,Marble,大理石
ItemInfo/Maul,Text,,Mouth,嘴
ItemInfo/Mechanism,Text,,Mechanism,机械构件
ItemInfo/Medical,Text,,Medical,药品
ItemInfo/MetalReinforcedWall,Text,,MetalReinforcedWall,金属加固墙
ItemInfo/Mittens,Text,,Mittens,手套
ItemInfo/MushroomTree,Text,,MushroomTree,蘑菇树
ItemInfo/MysteryMeat,Text,,Mystery Meat,神秘肉
ItemInfo/Necklace,Text,,Necklace,项链
ItemInfo/Nitre,Text,,Nitra,钾硝石
ItemInfo/Oak,Text,,Oak,橡木
ItemInfo/Obsidian,Text,,Obsidian,黑曜石
ItemInfo/Opal,Text,,Opal,蛋白石
ItemInfo/Pants,Text,,Pants,裤子
ItemInfo/Paper,Text,,Paper,纸张
ItemInfo/Peat,Text,,Peat,泥炭
ItemInfo/Pick,Text,,To Choose,战锤
ItemInfo/Pickled Vegetables,Text,,Pickled Vegetables,泡菜
ItemInfo/Pike,Text,,Pike,梭鱼
ItemInfo/Pine,Text,,Pine,松树
ItemInfo/Plank,Text,,Plank,木板
ItemInfo/PlantFibre,Text,,PlantFibre,植物纤维
ItemInfo/Potato,Text,,Potato,马铃薯
ItemInfo/Prisoner,Text,,Prisoner,囚犯
ItemInfo/Quartzite,Text,,Quartzite,石英岩
ItemInfo/RawMaterial,Text,,RawMaterial,原材料
ItemInfo/RefinedMaterial,Text,,RefinedMaterial,精制材料
ItemInfo/Rice,Text,,Rice,米饭
ItemInfo/RiceGrain,Text,,RiceGrain,稻米
ItemInfo/Ring,Text,,Ring,戒指
ItemInfo/Roasted Seeds,Text,,Roasted Seeds,烤熟的种子
ItemInfo/Rope,Text,,Rope,绳
ItemInfo/Ruby,Text,,Ruby,红宝石
ItemInfo/Salt,Text,,Salt,盐
ItemInfo/Sand,Text,,Sand,沙
ItemInfo/Sandstone,Text,,Sandstone,砂岩
ItemInfo/Sandwich,Text,,Sandwich,三明治
ItemInfo/Schist,Text,,Schist,片岩
ItemInfo/Seed,Text,,Seed,种子
ItemInfo/Shale,Text,,Shale,页岩
ItemInfo/SheepMeat,Text,,SheepMeat,羊肉
ItemInfo/Shirt,Text,,Shirt,衬衫
ItemInfo/Shoes,Text,,Shoes,鞋
ItemInfo/Short Bow,Text,,Short Bow,短弓
ItemInfo/Silt,Text,,Silt,淤泥
ItemInfo/Silver,Text,,Silver,银
ItemInfo/Silver Ingot,Text,,Silver Ingot,银锭
ItemInfo/Simple Meal,Text,,Simple Meal,简单的一餐
ItemInfo/Slate,Text,,Slate,石板
ItemInfo/Spear,Text,,Spear,长矛
ItemInfo/Sphalerite,Text,,Sphalerite,闪锌矿
ItemInfo/SpiderChitin,Text,,Spider Chitin,蜘蛛壳
ItemInfo/SpiderMeat,Text,,SpiderMeat,蜘蛛肉
ItemInfo/Splint,Text,,Splint,夹板
ItemInfo/Steak,Text,,Steak,牛排
ItemInfo/Steel Ingot,Text,,Steel Ingot,钢锭
ItemInfo/Stick,Text,,Stick,木棍
ItemInfo/Stone Pipe,Text,,Stone Pipe,石管
ItemInfo/StoneWall,Text,,StoneWall,石墙
ItemInfo/StrongStoneWall,Text,,StrongStoneWall,加固石墙
ItemInfo/Sword,Text,,Sword,剑
ItemInfo/Targe,Text,,Targe,轻盾
ItemInfo/Tea,Text,,Tea,茶
ItemInfo/Tin Ingot,Text,,Tin Ingot,锡锭
ItemInfo/Titanium Ingot,Text,,Titanium Ingot,钛锭
ItemInfo/Tomato,Text,,Tomato,番茄
ItemInfo/Trinket,Text,,Ornament,装饰品
ItemInfo/Vegetable Stew,Text,,Vegetable Stew,炖蔬菜
ItemInfo/Vodka,Text,,Vodka,伏特加
ItemInfo/Wall,Text,,Wall,墙
ItemInfo/Weapon,Text,,Weapon,武器
ItemInfo/WheatFlour,Text,,WheatFlour,面粉
ItemInfo/WheatGrain,Text,,WheatGrain,谷物
ItemInfo/WolfFur,Text,,Wolf Fur,狼皮
ItemInfo/WolfMeat,Text,,Wolf meat,狼肉
ItemInfo/Wooden Pipe,Text,,Wooden Pipe,木材
ItemInfo/WoodenWall,Text,,Wooden Wall,木墙
ItemInfo/Wool,Text,,Wool,羊毛
ItemInfo/Zinc Ingot,Text,,Zinc Ingot,锌锭
ItemQualityDescription/0,Text,,Shoddy,极差
ItemQualityDescription/1,Text,,Poor,较差
ItemQualityDescription/10,Text,,,
ItemQualityDescription/2,Text,,Mediocre,平庸
ItemQualityDescription/3,Text,,Decent,尚可
ItemQualityDescription/4,Text,,Quality,优质
ItemQualityDescription/5,Text,,Well-crafted,精品
ItemQualityDescription/6,Text,,Exceptional,卓越
ItemQualityDescription/7,Text,,Exquisite,精致
ItemQualityDescription/8,Text,,Masterwork,杰作
ItemQualityDescription/9,Text,,Legendary,传奇
Items,Text,,Items,物品
Items in Stockpiles,Text,,Items in Stockpiles,储存区中的物品
JobType/AnimalBreeder,Text,,Animal Breeder,饲养员
JobType/AnimalBreeder__tooltip,Text,,Caring and capture tamed animals. Requires an Animal Pen built.,捕捉并照料已驯服的动物。需要建造动物畜栏。
JobType/Armoursmith,Text,,ArmourSmith,盔甲匠
